Method,LeadTimeMin,Aggregation,Metric,Threshold,Pool,Value
Baseline,40,global_count,CSI,219,4,0.000000
Baseline,45,global_count,CSI,219,4,0.000000
Baseline,50,global_count,CSI,219,4,0.000000
Baseline,55,global_count,CSI,219,4,0.000000
Baseline,60,global_count,CSI,219,4,0.000000
Baseline,5,batch_avg,CSI,219,16,0.055136
Baseline,10,batch_avg,CSI,219,16,0.032062
Baseline,15,batch_avg,CSI,219,16,0.025166
Baseline,20,batch_avg,CSI,219,16,0.022188
Baseline,25,batch_avg,CSI,219,16,0.020599
Baseline,30,batch_avg,CSI,219,16,0.017994
Baseline,35,batch_avg,CSI,219,16,0.000042
Baseline,40,batch_avg,CSI,219,16,0.000000
Baseline,45,batch_avg,CSI,219,16,0.000000
Baseline,50,batch_avg,CSI,219,16,0.000000
Baseline,55,batch_avg,CSI,219,16,0.000000
Baseline,60,batch_avg,CSI,219,16,0.000000
Baseline,5,global_count,CSI,219,16,0.403682
Baseline,10,global_count,CSI,219,16,0.350905
Baseline,15,global_count,CSI,219,16,0.330428
Baseline,20,global_count,CSI,219,16,0.307837
Baseline,25,global_count,CSI,219,16,0.238164
Baseline,30,global_count,CSI,219,16,0.206282
Baseline,35,global_count,CSI,219,16,0.000588
Baseline,40,global_count,CSI,219,16,0.000000
Baseline,45,global_count,CSI,219,16,0.000000
Baseline,50,global_count,CSI,219,16,0.000000
Baseline,55,global_count,CSI,219,16,0.000000
Baseline,60,global_count,CSI,219,16,0.000000
Baseline,5,batch_avg,POD,16,1,0.949208
Baseline,10,batch_avg,POD,16,1,0.929628
Baseline,15,batch_avg,POD,16,1,0.914771
Baseline,20,batch_avg,POD,16,1,0.899369
Baseline,25,batch_avg,POD,16,1,0.890167
Baseline,30,batch_avg,POD,16,1,0.878327
Baseline,35,batch_avg,POD,16,1,0.869795
Baseline,40,batch_avg,POD,16,1,0.866917
Baseline,45,batch_avg,POD,16,1,0.855929
Baseline,50,batch_avg,POD,16,1,0.846943
Baseline,55,batch_avg,POD,16,1,0.843414
Baseline,60,batch_avg,POD,16,1,0.837521
Baseline,5,global_count,POD,16,1,0.959605
Baseline,10,global_count,POD,16,1,0.947830
Baseline,15,global_count,POD,16,1,0.937208
Baseline,20,global_count,POD,16,1,0.924803
Baseline,25,global_count,POD,16,1,0.917789
Baseline,30,global_count,POD,16,1,0.908540
Baseline,35,global_count,POD,16,1,0.901457
Baseline,40,global_count,POD,16,1,0.897967
Baseline,45,global_count,POD,16,1,0.884157
Baseline,50,global_count,POD,16,1,0.877338
Baseline,55,global_count,POD,16,1,0.879330
Baseline,60,global_count,POD,16,1,0.874307
Baseline,5,batch_avg,POD,16,4,0.932223
Baseline,10,batch_avg,POD,16,4,0.905419
Baseline,15,batch_avg,POD,16,4,0.892211
Baseline,20,batch_avg,POD,16,4,0.881682
Baseline,25,batch_avg,POD,16,4,0.877101
Baseline,30,batch_avg,POD,16,4,0.869445
Baseline,35,batch_avg,POD,16,4,0.865086
Baseline,40,batch_avg,POD,16,4,0.865692
Baseline,45,batch_avg,POD,16,4,0.858493
Baseline,50,batch_avg,POD,16,4,0.852401
Baseline,55,batch_avg,POD,16,4,0.851230
Baseline,60,batch_avg,POD,16,4,0.847855
Baseline,5,global_count,POD,16,4,0.944737
Baseline,10,global_count,POD,16,4,0.925729
Baseline,15,global_count,POD,16,4,0.916012
Baseline,20,global_count,POD,16,4,0.907556
Baseline,25,global_count,POD,16,4,0.904126
Baseline,30,global_count,POD,16,4,0.897867
Baseline,35,global_count,POD,16,4,0.894093
Baseline,40,global_count,POD,16,4,0.893521
Baseline,45,global_count,POD,16,4,0.883470
Baseline,50,global_count,POD,16,4,0.878585
Baseline,55,global_count,POD,16,4,0.881202
Baseline,60,global_count,POD,16,4,0.878117
Baseline,5,batch_avg,POD,16,16,0.917314
Baseline,10,batch_avg,POD,16,16,0.875990
Baseline,15,batch_avg,POD,16,16,0.861437
Baseline,20,batch_avg,POD,16,16,0.854829
Baseline,25,batch_avg,POD,16,16,0.856309
Baseline,30,batch_avg,POD,16,16,0.855963
Baseline,35,batch_avg,POD,16,16,0.859282
Baseline,40,batch_avg,POD,16,16,0.865767
Baseline,45,batch_avg,POD,16,16,0.865009
Baseline,50,batch_avg,POD,16,16,0.864214
Baseline,55,batch_avg,POD,16,16,0.867584
Baseline,60,batch_avg,POD,16,16,0.868621
